'	474	345	462	332	487	331	461	360	487	359
b	518	345	507	333	534	331	506	359	534	356
k	555	346	540	333	567	332	539	359	568	358
d	592	348	574	333	604	332	577	358	604	357
g	627	347	612	333	640	334	617	357	641	356
.	664	346	652	333	676	334	655	356	676	355
,	701	343	688	332	715	333	690	357	716	356
?	751	344	737	333	766	333	738	358	768	355
!	811	345	801	333	823	333	800	358	822	353
tab	474	381	455	367	493	367	455	392	493	392
c	519	381	506	366	532	366	506	393	533	392
a	555	381	541	367	567	366	545	391	568	390
n	589	379	578	366	604	366	579	392	606	389
i	626	379	615	368	639	367	621	390	638	391
m	664	381	650	367	679	368	650	391	679	389
q	700	380	690	367	716	366	692	390	716	388
bsp	750	377	734	368	773	366	732	392	773	391
caps	474	416	450	404	496	402	450	427	497	426
f	518	413	506	402	532	401	509	426	533	422
l	555	413	543	402	567	401	544	426	565	426
e	591	414	579	402	603	402	579	425	603	424
free	628	411	615	403	636	402	619	424	638	424
s	663	414	651	402	676	402	653	425	679	421
y	700	411	688	401	716	402	689	425	716	424
x	751	413	741	402	765	403	741	426	765	423
enter	811	413	788	402	834	403	789	426	832	421
shift	475	444	453	436	497	434	452	459	494	461
j	519	446	508	436	530	437	510	458	529	460
h	556	445	544	437	568	437	547	459	563	458
t	592	447	577	435	602	435	583	460	602	459
o	627	449	619	437	641	438	618	458	640	456
p	663	448	653	438	676	438	652	459	673	459
v	701	446	691	436	716	434	699	457	715	458
NBest	750	446	727	435	777	435	728	459	778	455
@	473	480	458	468	490	468	462	493	489	493
\	518	481	507	467	530	469	509	494	530	494
;	553	478	543	470	564	470	543	494	567	490
""""	589	482	577	470	604	470	578	493	601	493
r	626	480	613	470	637	472	617	494	641	492
u	663	482	653	468	678	468	654	491	675	491
w	700	483	691	471	716	470	693	491	715	491
z	749	479	742	469	764	469	743	491	769	487
#	811	481	807	468	824	468	800	494	823	492
