tab	434	346	413	332	455	331	415	359	454	358
q	478	344	465	332	493	334	467	357	494	357
w	517	345	502	334	531	333	502	359	530	355
e	553	346	537	330	569	331	544	356	568	356
r	589	347	578	332	604	331	577	358	602	356
t	635	345	625	332	647	333	627	356	648	356
y	693	346	681	330	709	332	683	357	708	357
u	743	345	730	333	757	333	737	356	758	357
i	779	344	769	332	793	332	770	357	793	359
o	816	347	802	334	830	334	802	358	831	358
p	852	345	837	334	865	332	839	359	864	357
caps	434	381	413	367	457	366	412	392	456	392
a	478	379	467	367	491	368	469	391	491	391
s	515	379	505	368	528	367	502	392	529	391
d	552	381	545	368	566	368	544	392	565	390
f	589	380	577	368	601	367	577	391	599	393
g	635	382	624	366	648	368	625	391	647	388
h	693	378	682	366	707	368	687	389	706	391
j	742	378	732	368	755	368	732	392	755	388
k	780	379	766	367	792	367	771	391	791	389
l	817	379	804	367	827	368	805	390	828	389
;	851	379	839	368	863	367	842	390	863	389
shift	434	411	412	402	456	398	412	427	454	423
z	479	415	468	403	491	401	468	425	492	425
x	517	411	508	403	528	401	504	425	529	425
c	553	416	541	401	564	403	540	425	564	426
v	590	417	580	401	602	402	576	425	602	426
b	636	415	623	402	649	401	625	427	649	424
n	694	416	684	403	707	402	683	426	708	422
m	744	414	733	401	758	404	731	425	759	421
,	779	415	776	404	790	404	771	424	790	426
.	817	416	806	403	826	403	809	425	825	423
/	852	413	842	404	861	405	842	425	864	425
bsp	434	445	413	436	453	435	414	460	453	459
!	478	447	467	435	489	436	470	458	489	460
'	514	447	506	436	526	437	509	457	526	461
""""	553	445	542	435	563	436	541	458	565	457
?	588	443	577	435	601	435	576	459	599	461
enter	634	445	611	436	657	436	612	459	657	459
NBest	692	443	675	436	719	436	670	459	717	458
#	742	444	733	436	756	435	732	458	757	455
\	780	447	770	436	792	437	770	458	791	455
