q	478	344	465	332	493	334	467	357	494	357
w	517	345	502	334	531	333	502	359	530	355
e	553	346	537	330	569	331	544	356	568	356
r	589	347	578	332	604	331	577	358	602	356
t	635	345	625	332	647	333	627	356	648	356
y	693	346	681	330	709	332	683	357	708	357
u	743	345	730	333	757	333	737	356	758	357
i	779	344	769	332	793	332	770	357	793	359
o	816	347	802	334	830	334	802	358	831	358
p	852	345	837	334	865	332	839	359	864	357
a	478	379	467	367	491	368	469	391	491	391
s	515	379	505	368	528	367	502	392	529	391
d	552	381	545	368	566	368	544	392	565	390
f	589	380	577	368	601	367	577	391	599	393
g	635	382	624	366	648	368	625	391	647	388
h	693	378	682	366	707	368	687	389	706	391
j	742	378	732	368	755	368	732	392	755	388
k	780	379	766	367	792	367	771	391	791	389
l	817	379	804	367	827	368	805	390	828	389
z	479	415	468	403	491	401	468	425	492	425
x	517	411	508	403	528	401	504	425	529	425
c	553	416	541	401	564	403	540	425	564	426
v	590	417	580	401	602	402	576	425	602	426
b	636	415	623	402	649	401	625	427	649	424
n	694	416	684	403	707	402	683	426	708	422
m	744	414	733	401	758	404	731	425	759	421
