the,251,30,141,30,347
be,306,136,141,30,196
and,85,82,195,82,455
of,472,30,251,82,227
in,417,30,361,136,119
to,251,30,472,30,221
have,361,82,141,30,602
to,251,30,472,30,221
it,417,30,251,30,166
that,251,30,251,30,570
for,251,82,195,30,504
you,306,30,361,30,277
he,361,82,141,30,226
with,85,30,361,82,619
on,472,30,361,136,153
do,195,82,472,30,281
say,141,82,306,30,283
this,251,30,141,82,477
they,251,30,306,30,512
at,85,82,251,30,173
but,306,136,251,30,229
we,85,30,141,30,56
his,361,82,141,82,356
from,251,82,417,136,472
that,251,30,251,30,570
not,361,136,251,30,374
n't,361,136,251,30,374
n't,361,136,251,30,374
by,306,136,306,30,106
she,141,82,141,30,446
or,472,30,195,30,277
as,85,82,141,82,56
what,85,30,251,30,729
go,306,82,472,30,173
their,251,30,195,30,845
can,195,136,361,136,403
who,85,30,472,30,402
get,306,82,251,30,283
if,417,30,251,82,173
would,85,30,195,82,1005
her,361,82,195,30,280
all,85,82,528,82,443
my,417,136,306,30,153
make,417,136,141,30,1058
about,85,82,251,30,644
know,472,82,85,30,663
will,85,30,528,82,454
as,85,82,141,82,56
up,361,30,528,30,167
one,472,30,141,30,397
time,251,30,141,30,567
there,251,30,141,30,455
year,306,30,195,30,362
so,141,82,472,30,335
think,251,30,472,82,439
when,85,30,361,136,750
which,85,30,361,82,776
them,251,30,417,136,642
some,141,82,141,30,749
me,417,136,141,30,295
people,528,30,141,30,1216
take,251,30,141,30,895
out,472,30,251,30,221
into,417,30,472,30,492
just,417,82,251,30,423
see,141,82,141,30,52
him,361,82,417,136,182
your,306,30,195,30,443
come,195,136,141,30,710
could,195,136,195,82,914
now,361,136,85,30,540
than,251,30,361,136,678
like,528,82,141,30,532
other,472,30,195,30,622
how,361,82,85,30,509
then,251,30,361,136,591
its,417,30,141,82,287
our,472,30,195,30,277
two,251,30,472,30,553
more,417,136,141,30,450
these,251,30,141,30,451
want,85,30,251,30,485
way,85,30,306,30,279
look,528,82,472,82,128
first,251,82,251,30,590
also,85,82,472,30,1165
new,361,136,85,30,300
because,306,136,141,30,994
day,195,82,306,30,337
more,417,136,141,30,450
use,361,30,141,30,278
no,361,136,472,30,153
man,417,136,361,136,617
find,251,82,195,82,466
here,361,82,141,30,334
thing,251,30,306,82,393
give,306,82,141,30,470
many,417,136,306,30,736
well,85,30,528,82,446
only,472,30,306,30,556
those,251,30,141,30,630
tell,251,30,528,82,500
one,472,30,141,30,397
very,251,136,306,30,317
her,361,82,195,30,280
even,141,30,361,136,548
back,306,136,472,82,631
any,85,82,306,30,400
good,306,82,195,82,454
woman,85,30,361,136,1123
through,251,30,361,82,812
us,361,30,141,82,226
life,528,82,141,30,416
child,195,136,195,82,705
there,251,30,141,30,455
work,85,30,472,82,945
down,195,82,361,136,963
may,417,136,306,30,563
after,85,82,195,30,382
should,141,82,195,82,960
call,195,136,528,82,565
world,85,30,195,82,1334
over,472,30,195,30,451
school,141,82,528,82,448
still,141,82,528,82,409
try,251,30,306,30,167
in,417,30,361,136,119
as,85,82,141,82,56
last,528,82,251,30,620
ask,85,82,472,82,387
need,361,136,195,82,318
too,251,30,472,30,221
feel,251,82,528,82,511
three,251,30,141,30,348
when,85,30,361,136,750
state,141,82,141,30,577
never,361,136,195,30,602
become,306,136,141,30,1024
between,306,136,361,136,772
high,361,82,361,82,253
really,195,30,306,30,801
something,141,82,306,82,1252
most,417,136,251,30,575
another,85,82,195,30,1056
much,417,136,361,82,489
family,251,82,306,30,958
own,472,30,361,136,682
out,472,30,251,30,221
leave,528,82,141,30,792
put,528,30,251,30,277
old,472,30,195,82,409
while,85,30,141,30,868
mean,417,136,361,136,652
on,472,30,361,136,153
keep,472,82,528,30,722
student,141,82,251,30,874
why,85,30,306,30,355
let,528,82,251,30,500
great,306,82,251,30,425
same,141,82,141,30,687
big,306,136,306,82,275
group,306,82,528,30,677
begin,306,136,361,136,610
seem,141,82,417,136,347
country,195,136,306,30,832
help,361,82,528,30,668
talk,251,30,472,82,672
where,85,30,141,30,614
turn,251,30,361,136,472
problem,528,30,417,136,1719
every,141,30,306,30,469
start,141,82,251,30,471
hand,361,82,195,82,731
might,417,136,251,30,404
american,85,82,361,136,1556
show,141,82,85,30,729
part,528,30,251,30,623
about,85,82,251,30,644
against,85,82,251,30,1244
place,528,30,141,30,735
over,472,30,195,30,451
such,141,82,361,82,596
again,85,82,361,136,897
few,251,82,85,30,177
case,195,136,141,30,230
most,417,136,251,30,575
week,85,30,472,82,391
company,195,136,306,30,1414
where,85,30,141,30,614
system,141,82,417,136,872
each,141,30,361,82,372
right,195,30,251,30,520
program,528,30,417,136,1362
hear,361,82,195,30,423
so,141,82,472,30,335
question,141,82,361,136,993
during,195,82,306,82,757
work,85,30,472,82,945
play,528,30,306,30,722
government,306,82,251,30,1567
run,195,30,361,136,272
small,141,82,528,82,1060
number,361,136,195,30,586
off,472,30,251,82,227
always,85,82,141,82,1341
move,417,136,141,30,516
like,528,82,141,30,532
night,361,136,251,30,417
live,528,82,141,30,470
mr,417,136,195,30,246
point,528,30,251,30,382
believe,306,136,141,30,1288
hold,361,82,195,82,531
